x,qx
17,0.000433
18,0.000429
19,0.000426
20,0.000423
21,0.00042
22,0.0004185
23,0.0004175
24,0.000416
25,0.000417
26,0.000418
27,0.000421
28,0.000425
29,0.00043
30,0.000438
31,0.000448
32,0.00046
33,0.000474
34,0.000492
35,0.000514
36,0.00054
37,0.00057
38,0.000606
39,0.000648
40,0.000697
41,0.000754
42,0.00082
43,0.000896
44,0.000984
45,0.001085
46,0.001201
47,0.001333
48,0.001484
49,0.001656
50,0.001852
51,0.002074
52,0.002326
53,0.002611
54,0.002934
55,0.003298
56,0.003708
57,0.00417
58,0.004689
59,0.005271
60,0.005925
61,0.006656
62,0.007474
63,0.008387
64,0.009405
65,0.010539
66,0.0118
67,0.013201
68,0.014756
69,0.016477
70,0.018382
71,0.020486
72,0.022807
73,0.025365
74,0.028179
75,0.031269
76,0.03466
77,0.038373
78,0.042434
79,0.046868
80,0.051702
81,0.056963
82,0.06268
83,0.068881
84,0.075596
85,0.082853
86,0.090684
87,0.099116
88,0.108179
89,0.117899
90,0.128304
91,0.139418
92,0.151264
93,0.163861
94,0.177225
95,0.19137
96,0.206304
97,0.222031
98,0.238551
99,0.255856
100,0.273933
101,0.374596
102,0.397913
103,0.421809
104,0.446206
105,1
